officer_id,officer_name,linked_entity_id,role
O101,Javier Montenegro,E217,Quantum Director
O102,Ananya Varma,E115,Neural Nominee
O103,Elara Starlight,E306,Interstellar Proxy
O104,Kofi Mandela,E410,Crypto Nominee
O105,Yuki Tanaka,E501,Nano Proxy
O106,Zara Ibn Malik,E602,Blockchain Director
O107,Dmitri Volkov,E703,AI Nominee
O108,Aisha Al-Farsi,E808,Metaverse Proxy
O109,Lucian Dracul,E909,Cyber Director
O110,Nia Okoro,E010,Biotech Nominee
O111,Rajiv Chatterjee,E111,Holographic Proxy
O112,Isolde Vanderhof,E212,Quantum Director
O113,Tarik Benali,E313,Neural Nominee
O114,Maeve O'Connor,E414,Interstellar Proxy
O115,Hiroshi Nakamura,E515,Crypto Nominee
O116,Leila Costa,E616,Nano Proxy
O117,Bogdan Petrov,E717,Blockchain Director
O118,Sophia Zhang,E818,AI Nominee
O119,Omar Khalid,E919,Metaverse Proxy
O120,Anastasia Volkova,E020,Cyber Director
O121,Kwame Nkrumah,E121,Biotech Nominee
O122,Yara Santos,E222,Holographic Proxy
O123,Viktor Sokolov,E323,Quantum Director
O124,Mei Lin,E424,Neural Nominee
O125,Idris El-Masri,E525,Interstellar Proxy
O126,Zoe Papadakis,E626,Crypto Nominee
O127,Arjun Patel,E727,Nano Proxy
O128,Nadia Comaneci,E828,Blockchain Director
O129,Dante Ferrara,E929,AI Nominee
O130,Ying Yue,E030,Metaverse Proxy
O131,Amara Diallo,E131,Cyber Director
O132,Rafael De La Cruz,E232,Biotech Nominee
O133,Noor Jahan,E333,Holographic Proxy
O134,Laszlo Kovacs,E434,Quantum Director
O135,Sakura Yamamoto,E535,Neural Nominee
O136,Tariq Al-Mansoor,E636,Interstellar Proxy
O137,Ingrid Bergman,E737,Crypto Nominee
O138,Mehmet Yilmaz,E838,Nano Proxy
O139,Valentina Rossi,E939,Blockchain Director
O140,Xiǎo Wáng,E040,AI Nominee
O141,Oluwatobi Adebayo,E141,Metaverse Proxy
O142,Elena Popescu,E242,Cyber Director
O143,Sanjay Gupta,E343,Biotech Nominee
O144,Fatima Zahra,E444,Holographic Proxy
O145,Leonardo Silva,E545,Quantum Director
O146,Amina Bello,E646,Neural Nominee
O147,Grigori Rasputin,E747,Interstellar Proxy
O148,Mariana Costa,E848,Crypto Nominee
O149,Yusuf Khan,E949,Nano Proxy
O150,Zahra El-Din,E050,Blockchain Director
O151,Maximilian Von Habsburg,E151,AI Nominee
O152,Lila Cohen,E252,Metaverse Proxy
O153,Kenji Sato,E353,Cyber Director
O154,Aisha Rahman,E454,Biotech Nominee
O155,Nikolai Petrov,E555,Holographic Proxy
O156,Sofia Espinoza,E656,Quantum Director
O157,Kwesi Boateng,E757,Neural Nominee
O158,Yuki Ishikawa,E858,Interstellar Proxy
O159,Leila Nassar,E959,Crypto Nominee
O160,Dante Alighieri,E060,Nano Proxy
O161,Zara Mustafa,E161,Blockchain Director
O162,Raj Patel,E262,AI Nominee
O163,Anya Petrova,E363,Metaverse Proxy
O164,Omar Farouk,E464,Cyber Director
O165,Mei Chen,E565,Biotech Nominee
O166,Idris Okonjo,E666,Holographic Proxy
O167,Nadia Kamal,E767,Quantum Director
O168,Viktor Orban,E868,Neural Nominee
O169,Yara Hussein,E969,Interstellar Proxy
O170,Leon Volkov,E070,Crypto Nominee
O171,Sakura Nakamura,E171,Nano Proxy
O172,Amir Khan,E272,Blockchain Director
O173,Isabella Conti,E373,AI Nominee
O174,Kofi Annan,E474,Metaverse Proxy
O175,Anastasia Romanov,E575,Cyber Director
O176,Rafael Nadal,E676,Biotech Nominee
O177,Zahra Khatun,E777,Holographic Proxy
O178,Dmitri Sokolov,E878,Quantum Director
O179,Leila Abadi,E979,Neural Nominee
O180,Hiroshi Suzuki,E080,Interstellar Proxy
O181,Yusuf Islam,E181,Crypto Nominee
O182,Noor Pahlavi,E282,Nano Proxy
O183,Mehdi Farrokh,E383,Blockchain Director
O184,Valeria Russo,E484,AI Nominee
O185,Xiǎo Lǐ,E585,Metaverse Proxy
O186,Oluwaseun Adeleke,E686,Cyber Director
O187,Elena Grigorescu,E787,Biotech Nominee
O188,Sanjay Kapoor,E888,Holographic Proxy
O189,Fatima bint Mohammed,E989,Quantum Director
O190,Leonidas Papadopoulos,E090,Neural Nominee
O191,Amina Diop,E191,Interstellar Proxy
O192,Grigori Zaitsev,E292,Crypto Nominee
O193,Mariana Flores,E393,Nano Proxy
O194,Yusuf Abdel,Q194,Blockchain Director
O195,Zahra Al-Qurashi,E495,AI Nominee
O196,Maximilian Schell,E596,Metaverse Proxy
O197,Lila Ben-David,E697,Cyber Director
O198,Kenji Yamamoto,E798,Biotech Nominee
O199,Aisha Siddiqua,E899,Holographic Proxy
O200,Nikolai Kuznetsov,E990,Quantum Director
O999,Fake Officer A,E101,owner
O999,Fake Officer A,E102,owner
O999,Fake Officer A,E103,owner
